Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
61183487,Ulise,James Joyce,"Joyce, James","Mircea Ivănescu, Ioana Zirra","=""6067799588""","=""9786067799583""",0,3.75,Humanitas Fiction,Hardcover,832,2022,1922,,2022/11/08,"to-read, fiction","to-read (#79), fiction (#173)",to-read,,,,0,0
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,"=""0525562028""","=""9780525562023""",0,4.05,Penguin Press,Hardcover,246,2019,2019,,2022/11/02,"to-read, fiction","to-read (#73), fiction (#167)",to-read,,,,0,0
58891551,Young Mungo,Douglas   Stuart,"Stuart, Douglas",,"=""0802159559""","=""9780802159557""",0,4.38,Grove Press,Hardcover,390,2022,2022,,2022/11/06,"to-read, fiction","to-read (#76), fiction (#170)",to-read,,,,0,0
31574750,The End of Eddy,Édouard Louis,"Louis, Édouard",Michael Lucey,"=""0374266654""","=""9780374266653""",0,3.92,"Farrar, Straus and Giroux",Hardcover,208,2017,2014,,2022/11/06,"to-read, fiction","to-read (#77), fiction (#171)",to-read,,,,0,0
35380519,Heart of Darkness,Joseph Conrad,"Conrad, Joseph",,"=""1542097479""","=""""",0,3.43,AmazonClassics,Kindle Edition,110,2017,1899,,2022/11/03,"to-read, fiction","to-read (#74), fiction (#168)",to-read,,,,0,0
25853024,Macbeth,William Shakespeare,"Shakespeare, William","Stephen Orgel, A.R. Braunmuller","=""0143128566""","=""9780143128564""",0,3.90,Penguin Books,Paperback,144,2016,1623,,2022/11/07,"to-read, fiction","to-read (#78), fiction (#172)",to-read,,,,0,0
18920654,Go Tell It on the Mountain,James Baldwin,"Baldwin, James",,"=""""","=""""",0,4.04,Vintage,Kindle Edition,242,2013,1953,,2022/11/04,"to-read, fiction","to-read (#75), fiction (#169)",to-read,,,,0,0
41713576,The Shielding of Mrs Forbes,Alan Bennett,"Bennett, Alan",,"=""0571351824""","=""9780571351824""",0,3.98,Faber & Faber,Paperback,76,2019,2011,,2022/10/24,"to-read, fiction","to-read (#65), fiction (#161)",to-read,,,,0,0
27161156,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,"Vance, J.D.",,"=""0062300547""","=""9780062300546""",0,3.87,Harper,Hardcover,264,2016,2016,,2022/11/02,"to-read, fiction","to-read (#72), fiction (#166)",to-read,,,,0,0
56897474,The Dictionary of Obscure Sorrows,John Koenig,"Koenig, John",,"=""1501153641""","=""9781501153648""",0,4.47,Simon & Schuster,Hardcover,272,2021,2021,,2022/10/27,"to-read, fiction","to-read (#70), fiction (#164)",to-read,,,,0,0
59477931,Fizica tristeții,Gheorghi Gospodinov,"Gospodinov, Gheorghi",Cătălina Puiu,"=""6069784146""","=""9786069784143""",0,4.07,Pandora M,Paperback,304,2021,2011,,2022/10/25,"to-read, 2023-tbr, fiction","to-read (#69), 2023-tbr (#5), fiction (#163)",to-read,,,,0,0
